HourOfDay,DayOfWeek,CrimeType,AreaUnit,Victimisations,Year,Month
13,Sat,"Abduction, Harassment and Other Related Offences Against a Person",Sydenham,1,2021,2
16,Fri,Acts Intended to Cause Injury,Avon-Heathcote Estuary,1,2021,8
0,Wed,"Abduction, Harassment and Other Related Offences Against a Person",Sydenham,1,2021,8
4,Fri,"Unlawful Entry With Intent/Burglary, Break and Enter",Middleton,1,2021,8
15,Mon,Theft and Related Offences,Avon-Heathcote Estuary,1,2021,2
14,Sat,"Abduction, Harassment and Other Related Offences Against a Person",Shirley West,1,2021,2
19,Tue,Theft and Related Offences,Inlets-Banks Peninsula Bays,1,2021,2
16,Sun,Theft and Related Offences,Avon-Heathcote Estuary,1,2021,3
11,Mon,"Unlawful Entry With Intent/Burglary, Break and Enter",Spreydon,1,2020,9
11,Fri,"Unlawful Entry With Intent/Burglary, Break and Enter",Springston,1,2021,8
22,Fri,"Unlawful Entry With Intent/Burglary, Break and Enter",St Albans East,1,2021,8
23,Sat,Acts Intended to Cause Injury,Holmwood,1,2020,10
9,Mon,Theft and Related Offences,Northcote,1,2021,1
19,Sat,"Unlawful Entry With Intent/Burglary, Break and Enter",Rangiora North,1,2021,7
16,Mon,Acts Intended to Cause Injury,Aranui,1,2020,10
15,Fri,Theft and Related Offences,Wainoni,1,2021,6
5,Sat,"Unlawful Entry With Intent/Burglary, Break and Enter",Rangiora North,1,2021,7
21,Sun,"Abduction, Harassment and Other Related Offences Against a Person",Mona Vale,2,2021,5
17,Tue,Acts Intended to Cause Injury,Cathedral Square,2,2021,1
3,Sun,Acts Intended to Cause Injury,Avon Loop,1,2021,2
10,Tue,"Robbery, Extortion and Related Offences",Woolston South,1,2021,8
15,Sun,"Robbery, Extortion and Related Offences",Avon-Heathcote Estuary,2,2021,6
0,Sun,Acts Intended to Cause Injury,Richmond South,1,2020,9
14,Sat,Acts Intended to Cause Injury,Cathedral Square,1,2020,10
13,Sat,Acts Intended to Cause Injury,Linwood,1,2020,9
6,Fri,Theft and Related Offences,Barrington South,1,2021,7
11,Fri,Acts Intended to Cause Injury,Mona Vale,1,2020,9
20,Fri,"Unlawful Entry With Intent/Burglary, Break and Enter",Allenton West,1,2020,10
12,Sun,Acts Intended to Cause Injury,Avon Loop,1,2020,10
16,Sun,Acts Intended to Cause Injury,West Melton,1,2020,10
20,Sat,"Unlawful Entry With Intent/Burglary, Break and Enter",Sydenham,1,2021,8
3,Sat,"Unlawful Entry With Intent/Burglary, Break and Enter",Waihao,1,2021,7
12,Sat,"Unlawful Entry With Intent/Burglary, Break and Enter",Mt Somers,1,2021,6
20,Tue,"Robbery, Extortion and Related Offences",Linwood North,1,2021,8
21,Tue,Sexual Assault and Related Offences,Cathedral Square,1,2021,8
1,Fri,"Unlawful Entry With Intent/Burglary, Break and Enter",Casebrook,1,2021,6
4,Fri,"Unlawful Entry With Intent/Burglary, Break and Enter",Belfast,1,2021,7
4,Fri,"Unlawful Entry With Intent/Burglary, Break and Enter",Upper Riccarton,1,2021,6
5,Fri,"Unlawful Entry With Intent/Burglary, Break and Enter",Waltham,1,2021,7
9,Mon,Theft and Related Offences,Papanui,1,2021,1
22,Fri,"Robbery, Extortion and Related Offences",Linwood,1,2020,12
2,Sun,Theft and Related Offences,Mt Pleasant,1,2020,10
4,Fri,"Unlawful Entry With Intent/Burglary, Break and Enter",Middleton,1,2020,10
11,Mon,Theft and Related Offences,Cathedral Square,1,2021,8
10,Tue,Theft and Related Offences,Middleton,1,2021,8
11,Tue,Theft and Related Offences,Methven,1,2021,8
12,Tue,Theft and Related Offences,Ashburton Central East,1,2021,8
13,Tue,Theft and Related Offences,Cathedral Square,1,2021,8
21,Wed,"Abduction, Harassment and Other Related Offences Against a Person",Halswell Domain,1,2021,8
13,Fri,Theft and Related Offences,St Albans East,1,2020,9
15,Fri,Theft and Related Offences,Mona Vale,1,2021,5
16,Fri,Theft and Related Offences,Rangiora North,1,2021,5
17,Fri,Theft and Related Offences,Avon Loop,1,2021,5
17,Fri,Theft and Related Offences,Shirley East,1,2021,5
13,Fri,Acts Intended to Cause Injury,Cathedral Square,1,2020,9
13,Fri,Acts Intended to Cause Injury,North Beach,1,2020,9
22,Fri,"Robbery, Extortion and Related Offences",Avon Loop,1,2020,11
22,Fri,"Robbery, Extortion and Related Offences",Ensors,1,2021,1
13,Mon,Theft and Related Offences,St Albans West,1,2021,8
11,Mon,Theft and Related Offences,Riccarton,1,2021,6
11,Sat,Acts Intended to Cause Injury,Somerfield,1,2020,9
0,Sat,Acts Intended to Cause Injury,Geraldine,1,2020,10
13,Sat,Acts Intended to Cause Injury,Wairarapa,1,2020,10
14,Sat,Acts Intended to Cause Injury,Cathedral Square,1,2020,10
10,Fri,Theft and Related Offences,Yaldhurst,1,2021,6
11,Fri,Theft and Related Offences,Northcote,1,2021,6
14,Fri,Theft and Related Offences,Seaview,1,2021,6
15,Fri,Theft and Related Offences,Mona Vale,1,2021,6
20,Sun,Acts Intended to Cause Injury,St Albans West,1,2020,10
16,Sun,Acts Intended to Cause Injury,Burwood,1,2020,11
18,Sun,Acts Intended to Cause Injury,Papanui,1,2020,11
2,Sun,Acts Intended to Cause Injury,Waimairi Beach,1,2020,11
0,Sat,"Unlawful Entry With Intent/Burglary, Break and Enter",Addington,1,2021,6
22,Sat,"Unlawful Entry With Intent/Burglary, Break and Enter",Hornby North,1,2021,6
23,Sat,"Unlawful Entry With Intent/Burglary, Break and Enter",Bromley,1,2021,6
2,Sat,"Unlawful Entry With Intent/Burglary, Break and Enter",Wigram,1,2021,7
18,Fri,"Robbery, Extortion and Related Offences",Ilam,1,2021,2
8,Tue,Theft and Related Offences,Mt Pleasant,1,2021,1
10,Wed,Theft and Related Offences,Avon-Heathcote Estuary,1,2021,1
10,Fri,Acts Intended to Cause Injury,Paparua,1,2021,2
10,Fri,Acts Intended to Cause Injury,Geraldine,1,2021,2
6,Fri,"Unlawful Entry With Intent/Burglary, Break and Enter",Addington,1,2020,10
15,Fri,"Unlawful Entry With Intent/Burglary, Break and Enter",Maori Park,1,2020,11
6,Fri,"Unlawful Entry With Intent/Burglary, Break and Enter",Sockburn,1,2020,11
18,Fri,Theft and Related Offences,Sydenham,1,2020,9
3,Fri,Theft and Related Offences,Barrington South,1,2020,9
11,Fri,Theft and Related Offences,Hagley Park,1,2020,10
13,Fri,Acts Intended to Cause Injury,Richmond North,1,2020,9
13,Fri,Acts Intended to Cause Injury,Lincoln,1,2020,9
17,Fri,Acts Intended to Cause Injury,Merivale,1,2020,9
10,Fri,Acts Intended to Cause Injury,Paparua,1,2020,10
18,Fri,"Robbery, Extortion and Related Offences",Riccarton,1,2021,2
6,Fri,"Robbery, Extortion and Related Offences",Phillipstown,1,2021,6
22,Fri,"Robbery, Extortion and Related Offences",Jellie Park,1,2020,10
15,Fri,"Robbery, Extortion and Related Offences",Linwood East,1,2021,1
22,Fri,"Robbery, Extortion and Related Offences",Coldstream,1,2020,10
16,Fri,"Robbery, Extortion and Related Offences",Cathedral Square,1,2020,10
6,Fri,"Unlawful Entry With Intent/Burglary, Break and Enter",Middleton,1,2021,7
1,Fri,"Unlawful Entry With Intent/Burglary, Break and Enter",Styx,1,2021,8
4,Fri,"Unlawful Entry With Intent/Burglary, Break and Enter",Cathedral Square,1,2021,8
1,Fri,"Unlawful Entry With Intent/Burglary, Break and Enter",Malvern,1,2021,7
4,Thu,Theft and Related Offences,Strowan,1,2021,8
9,Thu,Theft and Related Offences,Hoon Hay,1,2021,8
8,Thu,Theft and Related Offences,Rangiora Central,1,2021,8
11,Tue,Acts Intended to Cause Injury,Hagley Park,1,2021,8
10,Sat,"Robbery, Extortion and Related Offences",Mairehau North,1,2021,1
7,Sun,"Robbery, Extortion and Related Offences",Mairehau North,1,2021,1
0,Fri,Sexual Assault and Related Offences,Selwyn-Rakaia,1,2020,9
21,Sat,Sexual Assault and Related Offences,Parklands,1,2021,1
16,Tue,Theft and Related Offences,Yaldhurst,1,2021,8
16,Tue,Theft and Related Offences,Temuka,1,2021,8
2,Tue,Theft and Related Offences,Prestons,1,2021,8
10,Tue,Theft and Related Offences,Linwood,1,2021,8
0,Sun,Acts Intended to Cause Injury,Riccarton,1,2020,12
10,Sun,Acts Intended to Cause Injury,Ohoka,1,2020,12
13,Sun,Acts Intended to Cause Injury,Waimate,1,2020,12
11,Sun,Acts Intended to Cause Injury,South Brighton,1,2020,12
18,Fri,Theft and Related Offences,Sydenham,1,2021,6
10,Fri,Theft and Related Offences,North Beach,1,2021,7
20,Fri,Theft and Related Offences,Riccarton,1,2021,7
16,Fri,Theft and Related Offences,Halswell Domain,1,2021,8
13,Fri,Theft and Related Offences,Hagley Park,1,2020,10
15,Fri,Theft and Related Offences,Addington,1,2020,10
20,Fri,Theft and Related Offences,Hagley Park,1,2020,10
0,Fri,Theft and Related Offences,Ashburton Central West,1,2020,11
8,Mon,Theft and Related Offences,Seaview,1,2021,7
9,Mon,Theft and Related Offences,Opawa,1,2021,7
1,Mon,Theft and Related Offences,Middleton,1,2021,8
5,Mon,Theft and Related Offences,Cashmere West,1,2021,8
16,Fri,Theft and Related Offences,Sydenham,1,2021,6
19,Fri,Theft and Related Offences,Richmond South,1,2021,6
2,Fri,Theft and Related Offences,Allenton East,1,2021,6
21,Fri,Theft and Related Offences,Wainoni,1,2021,6
15,Sat,Acts Intended to Cause Injury,Heathcote Valley,1,2020,10
15,Sat,Acts Intended to Cause Injury,Paparua,1,2020,10
16,Sat,Acts Intended to Cause Injury,Levels,1,2020,10
17,Sat,Acts Intended to Cause Injury,Riccarton,1,2020,10
21,Sat,"Unlawful Entry With Intent/Burglary, Break and Enter",Phillipstown,1,2021,7
23,Sat,"Unlawful Entry With Intent/Burglary, Break and Enter",Wigram,1,2021,7
3,Sat,"Unlawful Entry With Intent/Burglary, Break and Enter",Waihao,1,2021,7
2,Sat,"Unlawful Entry With Intent/Burglary, Break and Enter",Amberley,1,2021,6
6,Fri,"Robbery, Extortion and Related Offences",Shirley East,1,2021,7
3,Fri,"Robbery, Extortion and Related Offences",Upper Riccarton,1,2021,3
17,Fri,"Robbery, Extortion and Related Offences",Islington,1,2021,4
17,Fri,"Robbery, Extortion and Related Offences",Linwood,1,2021,4
16,Fri,Theft and Related Offences,Hagley Park,1,2021,5
13,Fri,Acts Intended to Cause Injury,West Melton,1,2021,2
14,Fri,Acts Intended to Cause Injury,Northcote,1,2021,2
17,Fri,Acts Intended to Cause Injury,Cathedral Square,1,2021,2
19,Fri,Acts Intended to Cause Injury,Ensors,1,2021,2
14,Fri,Acts Intended to Cause Injury,Richmond North,1,2020,10
19,Fri,Acts Intended to Cause Injury,Maori Park,1,2020,10
12,Fri,Acts Intended to Cause Injury,Hornby South,1,2020,11
13,Fri,Acts Intended to Cause Injury,Wainoni,1,2020,11
13,Mon,"Robbery, Extortion and Related Offences",Somerfield,1,2020,12
18,Mon,"Robbery, Extortion and Related Offences",Addington,1,2021,1
17,Mon,"Robbery, Extortion and Related Offences",Yaldhurst,1,2020,9
20,Mon,"Robbery, Extortion and Related Offences",Riccarton South,1,2020,11
1,Fri,"Unlawful Entry With Intent/Burglary, Break and Enter",Methven,1,2020,12
19,Fri,"Unlawful Entry With Intent/Burglary, Break and Enter",Allenton East,1,2020,12
2,Fri,"Unlawful Entry With Intent/Burglary, Break and Enter",Rolleston South East,1,2020,12
3,Fri,"Unlawful Entry With Intent/Burglary, Break and Enter",Hillmorton,1,2020,12
3,Fri,"Unlawful Entry With Intent/Burglary, Break and Enter",Lincoln,1,2020,12
20,Fri,"Robbery, Extortion and Related Offences",Cathedral Square,1,2021,7
14,Fri,"Robbery, Extortion and Related Offences",Kaiapoi South,1,2021,8
2,Fri,"Robbery, Extortion and Related Offences",Mairehau North,1,2021,2
20,Fri,"Robbery, Extortion and Related Offences",Barrington North,2,2021,4
18,Sun,Acts Intended to Cause Injury,Addington,1,2021,1
23,Sun,Acts Intended to Cause Injury,Spreydon,1,2021,1
1,Sun,Acts Intended to Cause Injury,Ilam,1,2021,1
19,Sun,Acts Intended to Cause Injury,Hillmorton,1,2021,1
14,Fri,Theft and Related Offences,Kaiapoi South,1,2020,11
19,Fri,Theft and Related Offences,North Beach,1,2020,11
21,Fri,Theft and Related Offences,Fairlie,1,2020,11
22,Fri,Theft and Related Offences,Avon Loop,1,2020,11
9,Fri,Theft and Related Offences,Addington,1,2021,5
15,Mon,Theft and Related Offences,Belfast South,1,2021,2
19,Fri,"Unlawful Entry With Intent/Burglary, Break and Enter",Richmond South,1,2021,7
0,Fri,"Unlawful Entry With Intent/Burglary, Break and Enter",St Martins,1,2021,6
4,Fri,"Unlawful Entry With Intent/Burglary, Break and Enter",Sydenham,1,2021,6
4,Fri,"Unlawful Entry With Intent/Burglary, Break and Enter",Cathedral Square,1,2021,7
23,Sat,Sexual Assault and Related Offences,Bryndwr,1,2021,1
0,Sun,Sexual Assault and Related Offences,Bishopdale,1,2020,9
11,Sun,Sexual Assault and Related Offences,Parklands,1,2020,10
1,Wed,Sexual Assault and Related Offences,Springston,1,2020,10
11,Tue,Acts Intended to Cause Injury,Northcote,1,2021,8
11,Tue,"Robbery, Extortion and Related Offences",Hagley Park,1,2021,8
21,Tue,"Robbery, Extortion and Related Offences",Wainoni,1,2021,8
20,Tue,"Robbery, Extortion and Related Offences",Fendalton,1,2021,8
11,Tue,Theft and Related Offences,Cashmere East,1,2021,8
12,Tue,Theft and Related Offences,Cashmere East,1,2021,8
12,Tue,Theft and Related Offences,Sydenham,1,2021,8
12,Tue,Theft and Related Offences,Travis Wetland,1,2021,8
15,Fri,Acts Intended to Cause Injury,Avonside,1,2020,11
16,Fri,Acts Intended to Cause Injury,Loburn,1,2020,11
19,Fri,Acts Intended to Cause Injury,St Martins,1,2020,11
2,Fri,Acts Intended to Cause Injury,Cathedral Square,1,2020,11
6,Mon,Theft and Related Offences,Belfast,1,2021,8
16,Mon,Theft and Related Offences,Cathedral Square,1,2021,6
19,Mon,Theft and Related Offences,Hagley Park,1,2021,6
21,Mon,Theft and Related Offences,Rawhiti,1,2021,6
11,Mon,"Unlawful Entry With Intent/Burglary, Break and Enter",Oxford,1,2020,9
12,Mon,"Unlawful Entry With Intent/Burglary, Break and Enter",Dallington,1,2020,9
17,Fri,Theft and Related Offences,Trents-Ladbrooks,1,2021,8
4,Fri,Theft and Related Offences,Redwood South,1,2021,8
10,Fri,Theft and Related Offences,Westburn,1,2021,5
13,Fri,Theft and Related Offences,Hagley Park,1,2021,5
21,Sat,"Unlawful Entry With Intent/Burglary, Break and Enter",Phillipstown,1,2021,6
22,Sat,"Unlawful Entry With Intent/Burglary, Break and Enter",Spreydon,1,2021,6
4,Sat,"Unlawful Entry With Intent/Burglary, Break and Enter",Addington,1,2021,6
4,Sat,"Unlawful Entry With Intent/Burglary, Break and Enter",Bromley,1,2021,6
18,Sat,Acts Intended to Cause Injury,Bishopdale,1,2020,10
23,Sat,Acts Intended to Cause Injury,Cathedral Square,1,2020,10
19,Sat,Acts Intended to Cause Injury,Redwood South,1,2020,10
19,Sat,Acts Intended to Cause Injury,Waimataitai,1,2020,10
23,Mon,"Robbery, Extortion and Related Offences",Travis,1,2020,10
12,Mon,"Robbery, Extortion and Related Offences",Cathedral Square,1,2020,11
12,Mon,"Robbery, Extortion and Related Offences",Cathedral Square,1,2020,10
2,Sat,"Robbery, Extortion and Related Offences",Cathedral Square,1,2020,12
21,Fri,Theft and Related Offences,Lincoln,1,2021,6
6,Fri,Theft and Related Offences,Woolston South,1,2021,6
14,Fri,Theft and Related Offences,Cathedral Square,1,2021,7
16,Fri,Theft and Related Offences,Hornby North,1,2021,7
11,Fri,Acts Intended to Cause Injury,Hornby North,1,2021,3
15,Fri,Acts Intended to Cause Injury,Barrington North,1,2021,3
15,Fri,Acts Intended to Cause Injury,Mairehau North,1,2021,3
17,Fri,Acts Intended to Cause Injury,Westhaven,1,2021,3
9,Mon,"Robbery, Extortion and Related Offences",Hagley Park,1,2021,7
16,Mon,"Robbery, Extortion and Related Offences",Strowan,4,2021,6
9,Mon,"Robbery, Extortion and Related Offences",Ensors,1,2021,2
18,Mon,"Robbery, Extortion and Related Offences",Seaview,1,2021,3
23,Fri,Theft and Related Offences,Cathedral Square,1,2020,11
14,Fri,Theft and Related Offences,Mona Vale,1,2020,12
22,Fri,Theft and Related Offences,Barrington North,1,2020,12
17,Fri,Theft and Related Offences,St Martins,2,2020,9
15,Sun,Acts Intended to Cause Injury,Redwood South,1,2021,1
14,Thu,Acts Intended to Cause Injury,Dallington,1,2020,9
16,Thu,Acts Intended to Cause Injury,Shirley West,1,2020,11
18,Thu,Acts Intended to Cause Injury,Kaiapoi South,1,2020,12
16,Mon,Theft and Related Offences,Travis Wetland,1,2021,2
6,Mon,Theft and Related Offences,Belfast,1,2021,2
13,Mon,Theft and Related Offences,Riccarton,1,2021,3
22,Fri,Acts Intended to Cause Injury,Cathedral Square,1,2020,11
23,Fri,Acts Intended to Cause Injury,Cathedral Square,1,2020,11
17,Fri,Acts Intended to Cause Injury,Aidanfield,1,2020,12
19,Fri,Acts Intended to Cause Injury,Phillipstown,1,2020,12
5,Fri,"Unlawful Entry With Intent/Burglary, Break and Enter",Sockburn,1,2020,12
7,Fri,"Unlawful Entry With Intent/Burglary, Break and Enter",Hornby South,1,2020,12
0,Fri,"Unlawful Entry With Intent/Burglary, Break and Enter",Casebrook,1,2021,1
0,Fri,"Unlawful Entry With Intent/Burglary, Break and Enter",Prestons,1,2021,1
0,Sat,"Robbery, Extortion and Related Offences",Avonhead West,1,2021,1
22,Sat,"Robbery, Extortion and Related Offences",Waimate,1,2020,9
23,Sat,"Robbery, Extortion and Related Offences",Phillipstown,1,2020,9
6,Sat,"Robbery, Extortion and Related Offences",Riccarton South,1,2020,9
17,Fri,Theft and Related Offences,Phillipstown,1,2020,10
23,Fri,Theft and Related Offences,Waihao,1,2020,9
3,Fri,Theft and Related Offences,Mt Somers,1,2020,10
9,Fri,Theft and Related Offences,Burnside,1,2020,10
23,Thu,Theft and Related Offences,Yaldhurst,1,2021,8
23,Thu,Theft and Related Offences,Cathedral Square,1,2021,8
5,Thu,Theft and Related Offences,Hornby North,1,2021,8
7,Thu,Theft and Related Offences,Opawa,1,2021,8
4,Fri,"Unlawful Entry With Intent/Burglary, Break and Enter",Hornby South,1,2021,7
2,Fri,"Unlawful Entry With Intent/Burglary, Break and Enter",Hagley Park,1,2021,8
22,Fri,"Unlawful Entry With Intent/Burglary, Break and Enter",Bishopdale,1,2021,8
23,Fri,"Unlawful Entry With Intent/Burglary, Break and Enter",Sydenham,1,2021,8
15,Tue,Theft and Related Offences,Fendalton,1,2021,8
15,Tue,Theft and Related Offences,Travis Wetland,1,2021,8
16,Tue,Theft and Related Offences,Riccarton,1,2021,8
18,Tue,Theft and Related Offences,Ensors,1,2021,8
22,Mon,Theft and Related Offences,Wigram,1,2021,6
12,Mon,Theft and Related Offences,Sockburn,1,2021,7
14,Mon,Theft and Related Offences,Hagley Park,1,2021,7
14,Mon,Theft and Related Offences,Waimairi Beach,1,2021,7
5,Sat,"Unlawful Entry With Intent/Burglary, Break and Enter",Cathedral Square,1,2021,6
7,Sat,"Unlawful Entry With Intent/Burglary, Break and Enter",Linwood North,1,2021,6
0,Sat,"Unlawful Entry With Intent/Burglary, Break and Enter",Papanui,1,2021,7
2,Sat,"Unlawful Entry With Intent/Burglary, Break and Enter",Oaklands East,1,2021,7
13,Mon,"Unlawful Entry With Intent/Burglary, Break and Enter",Phillipstown,1,2020,9
15,Mon,"Unlawful Entry With Intent/Burglary, Break and Enter",Washdyke,1,2020,9
16,Mon,"Unlawful Entry With Intent/Burglary, Break and Enter",Yaldhurst,1,2020,9
17,Mon,"Unlawful Entry With Intent/Burglary, Break and Enter",Sumner,1,2020,9
20,Sat,Acts Intended to Cause Injury,Riccarton,1,2020,10
23,Sat,Acts Intended to Cause Injury,Addington,1,2020,10
23,Sat,Acts Intended to Cause Injury,Avon Loop,1,2020,10
7,Sat,Acts Intended to Cause Injury,Wairarapa,1,2020,9
14,Fri,Theft and Related Offences,Sydenham,1,2021,5
16,Fri,Theft and Related Offences,Linwood,1,2021,5
20,Fri,Theft and Related Offences,Wigram,1,2021,5
23,Fri,Theft and Related Offences,Upper Riccarton,1,2021,5
21,Thu,Acts Intended to Cause Injury,Aranui,1,2020,12
19,Thu,Acts Intended to Cause Injury,Aidanfield,1,2021,1
17,Thu,Acts Intended to Cause Injury,Waihao,2,2020,12
11,Tue,Acts Intended to Cause Injury,Rakaia,1,2020,9
0,Fri,Theft and Related Offences,Kaiapoi North West,1,2020,9
1,Fri,Theft and Related Offences,Ashburton Central East,1,2020,9
10,Fri,Theft and Related Offences,Belfast,1,2020,9
11,Fri,Theft and Related Offences,Hinds,1,2020,9
14,Fri,Theft and Related Offences,Avon Loop,1,2020,9
2,Fri,Acts Intended to Cause Injury,Cathedral Square,1,2020,12
21,Fri,Acts Intended to Cause Injury,Casebrook,1,2020,12
22,Fri,Acts Intended to Cause Injury,Barrington South,1,2020,12
0,Fri,Acts Intended to Cause Injury,Addington,1,2021,1
17,Fri,Acts Intended to Cause Injury,Rolleston South East,1,2021,3
20,Fri,Acts Intended to Cause Injury,Rolleston North East,1,2021,3
21,Fri,Acts Intended to Cause Injury,Waihao,1,2021,3
1,Fri,Acts Intended to Cause Injury,Cathedral Square,1,2021,4
10,Fri,Acts Intended to Cause Injury,Cathedral Square,1,2021,4
21,Mon,"Robbery, Extortion and Related Offences",Richmond South,1,2021,4
10,Mon,"Robbery, Extortion and Related Offences",Spreydon,1,2021,2
14,Mon,"Robbery, Extortion and Related Offences",Sydenham,1,2021,2
5,Mon,"Robbery, Extortion and Related Offences",Phillipstown,1,2021,3
19,Fri,Theft and Related Offences,Yaldhurst,1,2021,7
6,Fri,Theft and Related Offences,Avon Loop,1,2021,7
4,Fri,Theft and Related Offences,St Albans West,2,2021,7
10,Fri,Theft and Related Offences,Addington,1,2021,6
10,Fri,Theft and Related Offences,Barrington North,1,2021,6
11,Fri,Theft and Related Offences,Hoon Hay,1,2021,6
11,Fri,Theft and Related Offences,Hornby North,1,2021,6
12,Fri,Theft and Related Offences,Avonhead West,1,2021,6
3,Fri,"Unlawful Entry With Intent/Burglary, Break and Enter",Addington,1,2021,8
12,Fri,"Unlawful Entry With Intent/Burglary, Break and Enter",Yaldhurst,1,2021,8
22,Mon,"Unlawful Entry With Intent/Burglary, Break and Enter",Levels,1,2021,6
23,Mon,"Unlawful Entry With Intent/Burglary, Break and Enter",Cathedral Square,1,2021,7
15,Tue,Acts Intended to Cause Injury,Sydenham,1,2020,9
11,Tue,Acts Intended to Cause Injury,Shirley West,1,2020,10
10,Tue,Acts Intended to Cause Injury,Edgeware,1,2020,11
17,Tue,Acts Intended to Cause Injury,Parklands,1,2020,11
23,Fri,Theft and Related Offences,Travis,1,2020,9
23,Fri,Theft and Related Offences,Amberley,1,2020,9
8,Fri,Theft and Related Offences,Avonside,1,2020,9
0,Fri,Theft and Related Offences,Prestons,1,2020,10
12,Fri,Acts Intended to Cause Injury,Barrington South,1,2021,1
12,Fri,Acts Intended to Cause Injury,Linwood North,1,2021,1
19,Fri,Acts Intended to Cause Injury,St Albans East,1,2021,1
2,Fri,Acts Intended to Cause Injury,New Brighton,1,2021,1
11,Fri,Acts Intended to Cause Injury,Hornby North,1,2021,4
13,Fri,Acts Intended to Cause Injury,Parkside,1,2021,4
15,Fri,Acts Intended to Cause Injury,Kaiapoi North West,1,2021,4
17,Fri,Acts Intended to Cause Injury,Cathedral Square,1,2021,4
14,Mon,"Robbery, Extortion and Related Offences",Riccarton West,1,2021,7
21,Mon,"Robbery, Extortion and Related Offences",Strowan,2,2021,5
16,Mon,"Robbery, Extortion and Related Offences",Ensors,3,2021,3
23,Sat,"Robbery, Extortion and Related Offences",Shirley West,1,2021,4
7,Sat,"Robbery, Extortion and Related Offences",Travis Wetland,1,2020,9
5,Sat,"Robbery, Extortion and Related Offences",Watlington,1,2021,1
16,Sat,"Robbery, Extortion and Related Offences",Linwood North,1,2020,10
12,Sat,"Robbery, Extortion and Related Offences",Opawa,1,2020,11
14,Fri,"Unlawful Entry With Intent/Burglary, Break and Enter",Islington,1,2021,1
2,Fri,"Unlawful Entry With Intent/Burglary, Break and Enter",Islington,1,2021,1
21,Fri,"Unlawful Entry With Intent/Burglary, Break and Enter",Allenton East,1,2021,1
3,Fri,"Unlawful Entry With Intent/Burglary, Break and Enter",Spreydon,1,2021,1
22,Mon,Theft and Related Offences,North Beach,1,2021,3
23,Mon,Theft and Related Offences,Mona Vale,1,2021,3
14,Mon,Theft and Related Offences,Bishopdale,1,2021,4
18,Mon,Theft and Related Offences,Cathedral Square,1,2021,4
19,Fri,Theft and Related Offences,Linwood,1,2020,11
17,Fri,Theft and Related Offences,Rolleston Central,1,2020,11
15,Fri,Theft and Related Offences,Sefton,1,2020,12
6,Fri,Theft and Related Offences,Halswell West,1,2021,1
7,Thu,Theft and Related Offences,Kaiapoi South,1,2021,8
9,Thu,Theft and Related Offences,Islington,1,2021,8
9,Thu,Theft and Related Offences,Merivale,1,2021,8
9,Thu,Theft and Related Offences,Shirley East,1,2021,8
19,Mon,"Unlawful Entry With Intent/Burglary, Break and Enter",Sydenham,1,2020,9
21,Mon,"Unlawful Entry With Intent/Burglary, Break and Enter",Malvern,1,2020,9
3,Mon,"Unlawful Entry With Intent/Burglary, Break and Enter",Cashmere East,1,2020,9
8,Mon,"Unlawful Entry With Intent/Burglary, Break and Enter",Belfast South,1,2020,9
20,Sat,"Unlawful Entry With Intent/Burglary, Break and Enter",Belfast,1,2021,7
21,Sat,"Unlawful Entry With Intent/Burglary, Break and Enter",Bishopdale,1,2021,7
23,Sat,"Unlawful Entry With Intent/Burglary, Break and Enter",Washdyke,1,2021,7
4,Sat,"Unlawful Entry With Intent/Burglary, Break and Enter",Sockburn,1,2021,7
15,Mon,Theft and Related Offences,Mairehau North,1,2021,7
15,Mon,Theft and Related Offences,Northcote,1,2021,7
15,Mon,Theft and Related Offences,Northcote,1,2021,8
15,Mon,Theft and Related Offences,Riccarton,1,2021,8
19,Tue,Theft and Related Offences,Edgeware,1,2021,8
22,Tue,Theft and Related Offences,Hagley Park,1,2021,8
8,Tue,Theft and Related Offences,Hornby North,1,2021,8
20,Tue,Theft and Related Offences,Ferrymead,2,2021,8
21,Sat,Acts Intended to Cause Injury,Riccarton West,1,2020,10
23,Sat,Acts Intended to Cause Injury,Russley,1,2020,10
23,Sat,Acts Intended to Cause Injury,Glenwood,1,2020,10
3,Sat,Acts Intended to Cause Injury,Jellie Park,1,2020,10
3,Sat,"Robbery, Extortion and Related Offences",Westburn,1,2021,4
22,Sat,"Robbery, Extortion and Related Offences",Hornby North,1,2021,2
0,Sat,"Robbery, Extortion and Related Offences",Edgeware,1,2021,3
23,Sat,"Robbery, Extortion and Related Offences",Riccarton South,1,2021,3
3,Fri,"Unlawful Entry With Intent/Burglary, Break and Enter",Rangiora North,1,2021,1
15,Mon,"Unlawful Entry With Intent/Burglary, Break and Enter",Bromley,1,2020,10
19,Mon,"Unlawful Entry With Intent/Burglary, Break and Enter",Linwood,1,2020,10
23,Mon,"Unlawful Entry With Intent/Burglary, Break and Enter",Rawhiti,1,2020,10
12,Sat,Acts Intended to Cause Injury,Ashburton Central West,1,2020,10
21,Sat,Acts Intended to Cause Injury,Waihao,1,2020,10
21,Sat,Acts Intended to Cause Injury,Cathedral Square,1,2020,10
17,Sat,Acts Intended to Cause Injury,Kirwee,1,2020,10
12,Sat,Acts Intended to Cause Injury,Linwood,2,2020,10
8,Mon,Theft and Related Offences,North Beach,1,2021,4
19,Mon,Theft and Related Offences,Phillipstown,1,2021,5
